start;end;response_type;progress;duration_seconds;finished;date;hourly_wage;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;donation;significant _self;values_self;reflection_self;control;shape_utilize;involvement;trust;gender;age;condition
1-5-2024 10:40;1-5-2024 10:41;0;100;29;1;1-5-2024 10:41;40;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;1;1;1;2;41;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;32;1;1-5-2024 10:41;19,5;20;4;6;5;4;5;5;;;;;;;;;;;;;;;;;;;;;;5;2;44;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;36;1;1-5-2024 10:41;40;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;;;;1;1;33;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;40;1;1-5-2024 10:41;15;;;;;;;;;;;;;;;10;6;7;6;3;4;4;;;;;;;;6;2;28;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;34;1;1-5-2024 10:41;60;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;1;1;1;1;1;43;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;49;1;1-5-2024 10:41;10;;;;;;;;;;;;;;;;;;;;;;50;5;7;6;5;6;5;6;1;27;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;49;1;1-5-2024 10:41;20;;;;;;;;;;;;;;;10;5;5;5;2;2;3;;;;;;;;4;1;43;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;50;1;1-5-2024 10:41;21;3;6;6;7;6;5;6;;;;;;;;;;;;;;;;;;;;;;7;1;29;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;56;1;1-5-2024 10:41;0;;;;;;;;50;5;6;6;6;6;6;;;;;;;;;;;;;;;6;2;29;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;50;1;1-5-2024 10:41;25,3;;;;;;;;;;;;;;;;;;;;;;1;2;6;3;1;1;1;7;1;53;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;54;1;1-5-2024 10:41;48;;;;;;;;;;;;;;;;;;;;;;20;6;6;6;1;1;1;7;1;47;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;42;1;1-5-2024 10:41;30;;;;;;;;;;;;;;;40;6;7;7;2;2;5;;;;;;;;7;2;23;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;50;1;1-5-2024 10:41;0;;;;;;;;;;;;;;;0;4;5;4;4;4;5;;;;;;;;3;1;18;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;46;1;1-5-2024 10:41;15;;;;;;;;;;;;;;;50;5;6;5;4;3;3;;;;;;;;5;1;19;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;70;1;1-5-2024 10:41;40;2;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;6;2;48;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;52;1;1-5-2024 10:41;18;3;6;6;6;5;5;6;;;;;;;;;;;;;;;;;;;;;;6;1;26;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:41;0;100;48;1;1-5-2024 10:41;100;;;;;;;;1;7;6;7;7;5;7;;;;;;;;;;;;;;;7;2;35;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:41;0;100;44;1;1-5-2024 10:41;12,8;10;5;6;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;5;1;23;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;71;1;1-5-2024 10:41;16,5;;;;;;;;;;;;;;;0;3;3;3;1;1;1;;;;;;;;3;2;60;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;59;1;1-5-2024 10:41;25;5;7;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;;6;2;35;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;54;1;1-5-2024 10:41;35;;;;;;;;0;6;4;2;3;1;1;;;;;;;;;;;;;;;7;2;35;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;58;1;1-5-2024 10:41;60;;;;;;;;;;;;;;;;;;;;;;0;1;1;7;1;1;1;1;1;51;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;70;1;1-5-2024 10:41;20;;;;;;;;6;7;7;4;1;1;1;;;;;;;;;;;;;;;7;1;39;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;57;1;1-5-2024 10:41;27;;;;;;;;2;5;5;5;5;5;5;;;;;;;;;;;;;;;5;2;33;MoneyasTimeLongTerm
1-5-2024 10:40;1-5-2024 10:41;0;100;61;1;1-5-2024 10:41;35;2;4;5;5;4;4;5;;;;;;;;;;;;;;;;;;;;;;7;1;31;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;70;1;1-5-2024 10:41;15;;;;;;;;1;3;6;6;4;4;4;;;;;;;;;;;;;;;5;1;32;MoneyasTimeLongTerm
1-5-2024 10:41;1-5-2024 10:41;0;100;53;1;1-5-2024 10:41;12;;;;;;;;;;;;;;;50;4;5;6;3;3;3;;;;;;;;5;1;18;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;67;1;1-5-2024 10:41;12;8;6;7;5;4;4;7;;;;;;;;;;;;;;;;;;;;;;6;1;40;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:41;0;100;59;1;1-5-2024 10:41;18;;;;;;;;;;;;;;;5;2;3;2;3;3;3;;;;;;;;5;1;37;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:41;0;100;48;1;1-5-2024 10:41;10;;;;;;;;;;;;;;;;;;;;;;1;2;3;3;2;2;2;3;2;41;Moneylongterm
1-5-2024 10:40;1-5-2024 10:41;0;100;79;1;1-5-2024 10:41;15;;;;;;;;;;;;;;;20;7;7;7;4;4;4;;;;;;;;7;1;33;MoneyImmediate
1-5-2024 10:41;1-5-2024 10:41;0;100;56;1;1-5-2024 10:42;23;;;;;;;;;;;;;;;;;;;;;;0;5;2;2;1;1;1;4;2;51;Moneylongterm
1-5-2024 10:40;1-5-2024 10:42;0;100;73;1;1-5-2024 10:42;16;5;7;7;7;2;2;2;;;;;;;;;;;;;;;;;;;;;;7;2;62;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;61;1;1-5-2024 10:42;0;0;2;4;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;3;1;64;MoneyasTimeWorkedImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;69;1;1-5-2024 10:42;14;0;1;6;6;1;1;1;;;;;;;;;;;;;;;;;;;;;;7;2;20;MoneyasTimeWorkedImmediate
1-5-2024 10:41;1-5-2024 10:42;0;100;58;1;1-5-2024 10:42;17,25;;;;;;;;;;;;;;;20;2;3;3;3;3;2;;;;;;;;6;1;31;MoneyImmediate
1-5-2024 10:40;1-5-2024 10:42;0;100;74;1;1-5-2024 10:42;15;;;;;;;;;;;;;;;20;6;6;6;1;1;1;;;;;;;;6;1;41;MoneyImmediate
